"CCAA"	"IDENTHOGAR"	"ESTRATO"	"SEXO_i"	"EDAD_i"	"NORDEN_Ai"	"NORDEN_Mi"	"NADULTOS"	"NMENORES"	"A7_1_i"	"NORDEN_Pref"	"A7_2"	"A8_1_i"	"A8_2_i"	"NORINF"	"A9_otra"	"A10_i"	"A11_i"	"A12"	"B13"	"B14"	"B15_2"	"B16_2"	"B17"	"B18"	"B19a_2"	"B19b_2"	"B20a_2"	"B20b_2"	"B21a"	"B21b"	"FACTORHOGAR"	"CLASE_PR"	"D23_1"	"D23_2"	"D23_3"	"D23_4"	"D23_5"	"D23_6"	"D23_7"	"D23_8"	"D23_9"	"D23_10"	"D23_11"	"D24"	"D26"
"16"	"02297021"	"1"	"2"	79	"02"	"  "	2	0	"2"	"01"	"02"	"1"	"01"	"02"	" "	"03"	"6"	"2"	"1"	" "	"   "	"   "	" "	" "	"   "	"412"	"   "	"833"	" "	"1"	739.386	"5"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"02297031"	"1"	"2"	80	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"03"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	731.482	"6"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"02297041"	"1"	"2"	81	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"03"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	731.482	"6"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"02297051"	"1"	"1"	46	"01"	"  "	2	0	"1"	"01"	"02"	"2"	"08"	"01"	" "	"05"	"2"	"8"	" "	" "	"   "	"   "	" "	"1"	"   "	"412"	"   "	"960"	" "	"1"	722.866	"6"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"02"
"16"	"02297051"	"1"	"1"	22	"02"	"  "	2	0	"2"	"01"	"02"	"1"	"01"	"01"	" "	"04"	"1"	"8"	" "	" "	"   "	"   "	" "	"1"	"   "	"412"	"   "	"960"	" "	"1"	722.866	"6"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"02"
"16"	"02297071"	"1"	"2"	84	"01"	"  "	2	0	"2"	"02"	"02"	"2"	"02"	"01"	" "	"03"	"3"	"2"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	739.386	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02297071"	"1"	"1"	82	"02"	"  "	2	0	"1"	"02"	"02"	"1"	"01"	"01"	" "	"03"	"3"	"2"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	739.386	"5"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"02297081"	"1"	"1"	54	"01"	"  "	3	0	"1"	"01"	"02"	"2"	"02"	"02"	" "	"05"	"2"	"3"	" "	" "	"   "	"   "	" "	"1"	"   "	"433"	"   "	"723"	" "	"3"	713.151	"4"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02297081"	"1"	"2"	52	"02"	"  "	3	0	"2"	"01"	"02"	"1"	"01"	"02"	" "	"05"	"1"	"3"	" "	" "	"   "	"   "	" "	"1"	"   "	"433"	"   "	"723"	" "	"3"	713.151	"4"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"16"	"02297081"	"1"	"1"	20	"03"	"  "	3	0	"2"	"01"	"02"	"2"	"03"	"02"	" "	"05"	"4"	"3"	" "	" "	"   "	"   "	" "	"1"	"   "	"433"	"   "	"723"	" "	"3"	713.151	"4"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
