"CCAA"	"IDENTHOGAR"	"ESTRATO"	"SEXO_i"	"EDAD_i"	"NORDEN_Ai"	"NORDEN_Mi"	"NADULTOS"	"NMENORES"	"A7_1_i"	"NORDEN_Pref"	"A7_2"	"A8_1_i"	"A8_2_i"	"NORINF"	"A9_otra"	"A10_i"	"A11_i"	"A12"	"B13"	"B14"	"B15_2"	"B16_2"	"B17"	"B18"	"B19a_2"	"B19b_2"	"B20a_2"	"B20b_2"	"B21a"	"B21b"	"FACTORHOGAR"	"CLASE_PR"	"D23_1"	"D23_2"	"D23_3"	"D23_4"	"D23_5"	"D23_6"	"D23_7"	"D23_8"	"D23_9"	"D23_10"	"D23_11"	"D24"	"D26"
"14"	"03967141"	"1"	"2"	50	"01"	"  "	2	2	"1"	"01"	"01"	"1"	"01"	"01"	" "	"06"	"1"	"5"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	65.72	"6"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"02"
"14"	"03967141"	"1"	"1"	18	"02"	"  "	2	2	"2"	"01"	"01"	"2"	"03"	"01"	" "	"04"	"4"	"5"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	65.72	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"02"
"14"	"03967141"	"1"	"1"	13	"  "	"51"	2	2	"2"	"01"	"01"	"2"	"03"	"01"	" "	"04"	"4"	"5"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	65.72	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"02"
"14"	"03967141"	"1"	"2"	10	"  "	"52"	2	2	"2"	"01"	"01"	"2"	"03"	"01"	" "	"03"	"4"	"5"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	65.72	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"02"
"14"	"03968011"	"1"	"2"	88	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"00"	"1"	"03"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	411.137	"6"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"14"	"03968021"	"1"	"2"	57	"01"	"  "	2	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"06"	"2"	"5"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	691.735	"6"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"14"	"03968021"	"1"	"2"	21	"02"	"  "	2	0	"2"	"01"	"01"	"2"	"03"	"01"	" "	"08"	"1"	"5"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	691.735	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"01"
"14"	"03968031"	"1"	"1"	63	"01"	"  "	3	0	"2"	"02"	"01"	"1"	"01"	"01"	" "	"06"	"1"	"4"	" "	" "	"   "	"   "	" "	" "	"477"	"   "	"530"	"   "	"2"	" "	504.043	"3"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"05"
"14"	"03968031"	"1"	"2"	61	"02"	"  "	3	0	"1"	"02"	"01"	"2"	"02"	"01"	" "	"04"	"1"	"4"	" "	" "	"   "	"   "	" "	" "	"477"	"   "	"530"	"   "	"2"	" "	504.043	"3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"05"
"14"	"03968031"	"1"	"2"	31	"03"	"  "	3	0	"2"	"02"	"01"	"2"	"03"	"01"	" "	"08"	"1"	"4"	" "	" "	"   "	"   "	" "	" "	"477"	"   "	"530"	"   "	"2"	" "	504.043	"3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"05"
"14"	"03968041"	"1"	"1"	67	"01"	"  "	3	0	"2"	"02"	"01"	"1"	"01"	"01"	" "	"04"	"3"	"4"	"1"	" "	"   "	"   "	" "	" "	"   "	"259"	"   "	"970"	" "	"1"	594.191	"6"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"04"
"14"	"03968041"	"1"	"2"	66	"02"	"  "	3	0	"1"	"02"	"01"	"2"	"02"	"01"	" "	"04"	"3"	"4"	"1"	" "	"   "	"   "	" "	" "	"   "	"259"	"   "	"970"	" "	"1"	594.191	"6"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"04"
"14"	"03968041"	"1"	"1"	41	"03"	"  "	3	0	"2"	"02"	"01"	"2"	"03"	"01"	" "	"04"	"7"	"4"	"1"	" "	"   "	"   "	" "	" "	"   "	"259"	"   "	"970"	" "	"1"	594.191	"6"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"04"
"14"	"03968051"	"1"	"2"	68	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"03"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	411.137	"6"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"14"	"03968061"	"1"	"2"	87	"01"	"  "	2	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"02"	"3"	"8"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	741.75	"4"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"14"	"03968061"	"1"	"2"	27	"02"	"  "	2	0	"2"	"01"	"01"	"2"	"05"	"01"	" "	"09"	"4"	"8"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	741.75	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"01"
"14"	"03968091"	"1"	"2"	21	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"09"	"1"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	788.21	"5"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"14"	"03968111"	"1"	"1"	44	"01"	"  "	2	0	"2"	"02"	"01"	"1"	"01"	"02"	" "	"04"	"1"	"2"	" "	" "	"   "	"   "	" "	" "	"563"	"   "	"500"	"   "	"3"	" "	1023.13	"3"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"14"	"03968111"	"1"	"2"	28	"02"	"  "	2	0	"1"	"02"	"01"	"2"	"02"	"02"	" "	"05"	"1"	"2"	" "	" "	"   "	"   "	" "	" "	"563"	"   "	"500"	"   "	"3"	" "	1023.13	"3"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"14"	"03968131"	"1"	"2"	86	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"03"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	411.137	"6"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"14"	"03968141"	"1"	"2"	78	"01"	"  "	4	0	"2"	"03"	"02"	"2"	"06"	"02"	" "	"03"	"3"	"7"	" "	" "	"   "	"   "	" "	" "	"241"	"   "	"761"	"   "	"1"	" "	460.38	"4"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"03"
"14"	"03968141"	"1"	"2"	47	"02"	"  "	4	0	"2"	"03"	"02"	"1"	"01"	"02"	" "	"07"	"2"	"7"	" "	" "	"   "	"   "	" "	" "	"241"	"   "	"761"	"   "	"1"	" "	460.38	"4"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"03"
"14"	"03968141"	"1"	"1"	21	"03"	"  "	4	0	"1"	"03"	"02"	"2"	"03"	"02"	" "	"07"	"1"	"7"	" "	" "	"   "	"   "	" "	" "	"241"	"   "	"761"	"   "	"1"	" "	460.38	"4"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"03"
"14"	"03968141"	"1"	"1"	17	"04"	"  "	4	0	"2"	"03"	"02"	"2"	"03"	"02"	" "	"05"	"4"	"7"	" "	" "	"   "	"   "	" "	" "	"241"	"   "	"761"	"   "	"1"	" "	460.38	"4"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"03"
"14"	"03968151"	"1"	"2"	79	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"03"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	411.137	"6"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"14"	"03969011"	"1"	"2"	43	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"09"	"1"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	579.273	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"02"
"14"	"03969021"	"1"	"2"	61	"01"	"  "	3	1	"1"	"01"	"01"	"1"	"01"	"01"	" "	"04"	"5"	"7"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	478.879	"5"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"01"
"14"	"03969021"	"1"	"1"	55	"02"	"  "	3	1	"2"	"01"	"01"	"2"	"02"	"01"	" "	"04"	"2"	"7"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	478.879	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"01"
"14"	"03969021"	"1"	"2"	39	"03"	"  "	3	1	"2"	"01"	"01"	"2"	"03"	"01"	" "	"04"	"2"	"7"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	478.879	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"01"
"14"	"03969021"	"1"	"2"	6	"  "	"51"	3	1	"2"	"01"	"01"	"2"	"05"	"01"	" "	"01"	"4"	"7"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	478.879	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"01"
"14"	"03969051"	"1"	"1"	43	"01"	"  "	2	2	"2"	"02"	"01"	"1"	"01"	"01"	" "	"06"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"433"	"   "	"340"	"   "	"3"	" "	653.562	"3"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"14"	"03969051"	"1"	"2"	35	"02"	"  "	2	2	"1"	"02"	"01"	"2"	"02"	"01"	" "	"08"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"433"	"   "	"340"	"   "	"3"	" "	653.562	"3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"01"
"14"	"03969051"	"1"	"2"	3	"  "	"51"	2	2	"2"	"02"	"01"	"2"	"03"	"01"	" "	"01"	"4"	"3"	" "	" "	"   "	"   "	" "	" "	"433"	"   "	"340"	"   "	"3"	" "	653.562	"3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"01"
"14"	"03969051"	"1"	"1"	1	"  "	"52"	2	2	"2"	"02"	"01"	"2"	"03"	"01"	" "	"01"	"7"	"3"	" "	" "	"   "	"   "	" "	" "	"433"	"   "	"340"	"   "	"3"	" "	653.562	"3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"01"
"14"	"03969061"	"1"	"1"	58	"01"	"  "	4	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"07"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	669.916	"6"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"04"
"14"	"03969061"	"1"	"2"	55	"02"	"  "	4	0	"2"	"01"	"01"	"2"	"02"	"01"	" "	"06"	"6"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	669.916	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"04"
